"filename", "language", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\cart.html", "HTML", 50, 0, 0, 1, 13, 64
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\cart.js", "JavaScript", 0, 30, 0, 0, 8, 38
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\checkout.html", "HTML", 64, 0, 0, 1, 12, 77
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\checkout.js", "JavaScript", 0, 8, 0, 1, 2, 11
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\fanituotteet.html", "HTML", 69, 0, 0, 2, 14, 85
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\fanituotteet.js", "JavaScript", 0, 88, 0, 10, 18, 116
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\index.html", "HTML", 137, 0, 0, 6, 21, 164
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\kielet.js", "JavaScript", 0, 88, 0, 10, 18, 116
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\kielet_ja_tarvikkeet.html", "HTML", 69, 0, 0, 4, 14, 87
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\kitarat.html", "HTML", 69, 0, 0, 2, 17, 88
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\kitarat.js", "JavaScript", 0, 90, 0, 10, 18, 118
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\script.js", "JavaScript", 0, 88, 0, 10, 16, 114
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\styles.css", "PostCSS", 0, 0, 91, 0, 23, 114
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vahvistimet.js", "JavaScript", 0, 88, 0, 10, 18, 116
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vahvistimet_ja_aanentoistolaitteet.html", "HTML", 69, 0, 0, 2, 13, 84
"Total", "-", 527, 480, 91, 69, 225, 1392
