"filename", "language", "JSON", "HTML", "PostCSS", "JavaScript", "PHP", "YAML", "Shell Script", "Markdown", "XML", "Docker", "comment", "blank", "total"
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\asiakaspalvelu.html", "HTML", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 81
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\cart.html", "HTML", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 35
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\checkout.html", "HTML", 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -16
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\composer.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\composer.lock", "JSON", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 102
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\fanituotteet.html", "HTML", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 34
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\index.html", "HTML", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19, 77
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\kielet_ja_tarvikkeet.html", "HTML", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 34
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\kitarat.html", "HTML", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 34
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\script.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 2, 14, 45
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\send_confirmation.php", "PHP", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 15, 28, 142
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\side.css", "PostCSS", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 5, 5, 39
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\styles.css", "PostCSS", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 5, 7, 44
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\toimitustiedot.html", "HTML", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 83
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vahvistimet_ja_aanentoistolaitteet.html", "HTML", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 34
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\autoload.php", "PHP", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 5, 23
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\composer\ClassLoader.php", "PHP", 0, 0, 0, 0, 286, 0, 0, 0, 0, 0, 235, 59, 580
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\composer\InstalledVersions.php", "PHP", 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 147, 54, 397
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\composer\autoload_classmap.php", "PHP", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 4, 11
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\composer\autoload_namespaces.php", "PHP", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 4, 10
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\composer\autoload_psr4.php", "PHP", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 4, 12
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\composer\autoload_real.php", "PHP", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 10, 39
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\composer\autoload_static.php", "PHP", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 8, 45
